chr	start	end	size	artal	enhid
chr8	41867575	41868296	722	76	236
chr8	82035443	82036089	647	76	237
chr8	135898645	135899259	615	76	238
chr9	14179283	14179978	696	76	239
chr9	84429213	84430016	804	76	240
chr1	49812396	49813022	627	76	241
chr11	70824006	70824667	662	76	242
chr13	44792657	44793487	831	76	243
chr15	64364723	64365456	734	76	244
chr15	96222934	96223622	689	76	245
chr17	198287	198902	616	76	246
chr21	36696435	36697073	639	76	247
chr4	26143400	26144015	616	76	248
chr7	31010120	31010723	604	76	249
chr7	125124720	125125374	655	76	250
chr10	1362890	1363523	634	76	251
chr13	76041027	76041676	650	76	252
chr13	106468794	106469665	872	76	253
chr14	74127137	74127759	623	76	254
chr2	239152569	239153314	746	76	255
chr4	10531750	10532415	666	76	256
chr4	102132300	102133025	726	76	257
chr7	107426325	107426931	607	76	258
chr3	51686075	51686672	598	76	259
chr7	38280619	38281373	755	76	260
chr1	9061995	9062768	774	75	261
chr12	16588929	16589601	673	75	262
chr12	93905464	93906059	596	75	263
chr14	51230045	51230707	663	75	264
chr14	85823294	85823973	680	75	265
chr14	88883849	88884487	639	75	266
chr14	107254252	107254945	694	75	267
chr15	33115921	33116514	594	75	268
chr17	53808047	53808678	632	75	269
chr18	6745894	6746571	678	75	270
chr19	5620990	5621738	749	75	271
chr2	7171767	7172443	677	75	272
chr2	43103343	43104019	677	75	273
chr2	44329843	44330524	682	75	274
chr2	56037638	56038264	627	75	275
chr2	102736774	102737543	770	75	276
chr2	195902824	195903411	588	75	277
chr20	12011000	12011655	656	75	278
chr20	39097305	39098050	746	75	279
chr22	26024351	26024979	629	75	280
chr22	47688084	47688802	719	75	281
chr3	24175004	24175847	844	75	282
chr3	59526972	59527650	679	75	283
chr3	117328867	117329484	618	75	284
chr3	183483100	183483699	600	75	285
chr3	187457103	187457862	760	75	286
chr4	87508255	87509015	761	75	287
chr4	100939015	100939657	643	75	288
chr4	129765834	129766500	667	75	289
chr4	142075104	142075804	701	75	290
chr5	123991531	123992181	651	75	291
chr5	150849288	150850034	747	75	292
chr6	11288129	11288821	693	75	293
chr7	81120725	81121422	698	75	294
chr8	68722789	68723446	658	75	295
chr9	112951203	112951813	611	75	296
chr14	60435757	60436505	749	75	297
chr2	67743196	67743879	684	75	298
chr2	237733319	237733993	675	75	299
chr9	110588062	110588713	652	75	300
chr1	117018868	117019479	612	75	301
chr12	121737746	121738419	674	75	302
chr15	40682034	40682743	710	75	303
chr4	164030950	164031553	604	75	304
chr6	134951402	134952089	688	75	305
chr7	113054549	113055181	633	75	306
chr4	185714100	185714833	734	75	307
chr6	57838206	57838936	731	75	308
chr1	79332522	79333208	687	74	309
chr1	184591251	184591922	672	74	310
chr10	112896773	112897512	740	74	311
chr12	20853793	20854515	723	74	312
chr12	46543609	46544261	653	74	313
chr12	64993870	64994561	692	74	314
chr12	80425368	80426125	758	74	315
chr13	45423341	45424077	737	74	316
chr13	111489785	111490716	932	74	317
chr16	77392850	77393454	605	74	318
chr17	49665344	49665974	631	74	319
chr19	18487681	18488325	645	74	320
chr2	183959413	183960094	682	74	321
chr20	53601480	53602105	626	74	322
chr21	42897937	42898936	1000	74	323
chr3	37335083	37335722	640	74	324
chr3	102296086	102296723	638	74	325
chr3	131986286	131986945	660	74	326
chr3	152103453	152104171	719	74	327
chr3	175202386	175203004	619	74	328
chr4	38622655	38623955	1301	74	329
chr4	143834091	143834705	615	74	330
chr6	24734277	24734906	630	74	331
chr9	71962410	71963063	654	74	332
chr9	76194760	76195463	704	74	333
chr9	135099785	135100478	694	74	334
chr15	27643623	27644308	686	74	335
chr15	69886751	69887427	677	74	336
chr15	84599418	84600058	641	74	337
chr17	80110279	80110966	688	74	338
chr2	221063383	221064079	697	74	339
chr5	148221034	148221695	662	74	340
chr1	100951295	100952029	735	74	341
chr11	80493552	80494158	607	74	342
chr19	51353866	51354516	651	74	343
chr4	95601200	95602060	861	74	344
chr5	16776557	16777145	589	74	345
chr6	36317027	36317721	695	74	346
chr2	223660718	223661879	1162	74	347
chr3	186689172	186689883	712	74	348
chr1	33232696	33233447	752	73	349
chr1	156186229	156186679	451	73	350
chr1	8472345	8473054	710	73	351
chr1	184391929	184392529	601	73	352
chr1	224464647	224465500	854	73	353
chr10	63697040	63697718	679	73	354
chr11	111176039	111176806	768	73	355
chr12	46839120	46839819	700	73	356
chr12	80713838	80714450	613	73	357
chr12	115762751	115763422	672	73	358
chr12	116267749	116268420	672	73	359
chr14	29418699	29419259	561	73	360
chr14	63267199	63267842	644	73	361
chr16	77448599	77449232	634	73	362
chr17	78042225	78042944	720	73	363
chr17	80091863	80092497	635	73	364
chr18	50760908	50761554	647	73	365
chr19	6350559	6351193	635	73	366
chr3	104859686	104860367	682	73	367
chr3	170585219	170585867	649	73	368
chr4	1205484	1206104	621	73	369
chr5	17077781	17078436	656	73	370
chr5	122733080	122733745	666	73	371
chr5	147521131	147521744	614	73	372
chr6	146289779	146290440	662	73	373
chr8	90731893	90732593	701	73	374
chr8	102435759	102436684	926	73	375
chr8	108429896	108430498	603	73	376
chr1	205672072	205672702	631	73	377
chr17	74170073	74170694	622	73	378
chr4	98378291	98378931	641	73	379
chr7	130969371	130970023	653	73	380
chrX	11482327	11483077	751	73	381
chr12	103766777	103767457	681	73	382
chr11	26868754	26869452	699	73	383
chr12	92112001	92112654	654	73	384
chr16	16134867	16135609	743	73	385
chr19	51392811	51393543	733	73	386
chr2	1690504	1691187	684	73	387
chr7	89856523	89857227	705	73	388
chr14	90038836	90040017	1182	73	389
chr8	49561632	49562382	751	73	390
chr9	14027063	14027815	753	73	391
chrX	2596537	2597183	647	73	392
chrX	108297487	108297939	453	73	393
chr10	45558904	45559562	659	72	394
chr14	98770840	98771457	618	72	395
chr16	54543126	54543769	644	72	396
chr16	54679199	54679952	754	72	397
chr16	67495586	67496367	782	72	398
chr17	71071829	71072478	650	72	399
chr17	71423213	71423930	718	72	400
chr18	8079994	8080594	601	72	401
chr2	13120383	13120993	611	72	402
chr2	192796838	192797529	692	72	403
chr2	216700131	216700863	733	72	404
chr20	32840346	32841082	737	72	405
chr6	75463477	75464152	676	72	406
chr8	522675	523325	651	72	407
chr9	87513011	87513613	603	72	408
chrX	69168179	69168827	649	72	409
chr10	14613910	14614572	663	72	410
chr16	78506689	78507388	700	72	411
chr19	3336593	3337364	772	72	412
chr2	180438793	180439469	677	72	413
chr3	58135823	58136562	740	72	414
chr9	23598905	23599528	624	72	415
chr10	61751290	61752011	722	72	416
chr10	76720256	76720871	616	72	417
chr12	102736254	102736870	617	72	418
chr13	43498317	43498940	624	72	419
chr2	69901293	69901959	667	72	420
chr3	190427321	190427959	639	72	421
chr4	152074650	152075303	654	72	422
chr7	144087499	144088175	677	72	423
chr1	86000172	86000779	608	71	424
chr1	108325072	108325679	608	71	425
chr10	120012852	120013472	621	71	426
chr11	20532303	20532920	618	71	427
chr11	111008508	111009156	649	71	428
chr15	63191084	63191755	672	71	429
chr15	63357951	63358572	622	71	430
chr18	56722010	56722660	651	71	431
chr2	15424564	15425229	666	71	432
chr2	24762793	24763419	627	71	433
chr2	40340963	40341629	667	71	434
chr2	162940999	162941576	578	71	435
chr2	177349431	177350044	614	71	436
chr2	179774219	179775032	814	71	437
chr2	181232607	181233369	763	71	438
chr20	32851782	32852462	681	71	439
chr20	52256197	52256855	659	71	440
chr22	19594778	19595547	770	71	441
chr3	30559636	30560300	665	71	442
chr3	195748469	195749147	679	71	443
chr4	102177315	102177992	678	71	444
chr4	159717484	159718104	621	71	445
chr4	186271286	186271904	619	71	446
chr6	51567636	51568202	567	71	447
chr6	116380629	116381286	658	71	448
chr6	134341181	134341865	685	71	449
chr6	161375143	161375790	648	71	450
chr7	13938825	13939521	697	71	451
chr7	87932672	87933323	652	71	452
chr7	99424775	99425421	647	71	453
chr7	131785170	131785775	606	71	454
chr8	30533080	30533696	617	71	455
chr8	75089725	75090409	685	71	456
chr8	81657896	81658546	651	71	457
chr9	112003360	112004029	670	71	458
chrX	12106294	12107018	725	71	459
chr10	79065325	79066022	698	71	460
chr8	71863509	71864096	588	71	461
chr14	35872904	35873542	639	71	462
chr1	9613658	9614320	663	71	463
chr3	14337200	14337823	624	71	464
chr3	74692672	74693321	650	71	465
chr7	34237920	34238570	651	71	466
chr8	85742559	85743198	640	71	467
chr17	31149479	31149970	492	71	468
chr19	48564530	48565231	702	71	469
chr9	106028213	106028912	700	71	470
chr1	121288676	121289648	973	70	471
chr1	95835752	95836451	700	70	472
chr10	34188422	34189070	649	70	473
chr10	105711456	105712172	717	70	474
chr10	114121919	114122649	731	70	475
chr11	94578745	94579384	640	70	476
chr11	129513014	129513595	582	70	477
chr12	110119870	110120691	822	70	478
chr13	33558817	33559501	685	70	479
chr14	82853954	82854611	658	70	480
chr15	86558233	86558864	632	70	481
chr16	20715485	20716126	642	70	482
chr17	41136329	41136976	648	70	483
chr18	39331172	39331839	668	70	484
chr18	64542170	64542811	642	70	485
chr19	8439010	8439665	656	70	486
chr19	57873759	57874438	680	70	487
chr2	212273111	212273744	634	70	488
chr22	43016721	43017528	808	70	489
chr22	45586249	45586943	695	70	490
chr3	9183925	9184565	641	70	491
chr3	14270284	14271033	750	70	492
chr3	72355917	72356573	657	70	493
chr3	114508415	114509069	655	70	494
chr3	122471250	122471958	709	70	495
chr4	83169550	83170150	601	70	496
chr5	114037945	114038934	990	70	497
chr6	105774027	105775002	976	70	498
chr6	106879121	106879752	632	70	499
chr6	111251907	111252598	692	70	500
chr6	168151571	168152254	684	70	501
chr7	2900171	2900825	655	70	502
chr7	3559675	3560324	650	70	503
chr7	6068124	6068779	656	70	504
chr7	26452931	26453573	643	70	505
chr7	73613621	73614226	606	70	506
chr7	142941321	142941974	654	70	507
chr8	102516732	102517421	690	70	508
chr9	86601536	86602255	720	70	509
chr10	77532152	77532772	621	70	510
chr13	110667123	110667877	755	70	511
chr17	76110920	76111566	647	70	512
chr18	56217022	56217670	649	70	513
chr20	40278985	40279741	757	70	514
chr3	39182875	39183723	849	70	515
chr3	101956945	101957599	655	70	516
chr6	51877769	51878436	668	70	517
chr9	81124833	81125613	781	70	518
chr9	84202555	84203486	932	70	519
chr1	2342100	2342852	753	70	520
chr11	35929469	35930112	644	70	521
chr11	131285534	131286162	629	70	522
chr13	91893374	91894040	667	70	523
chr2	11679428	11680096	669	70	524
chr7	24021271	24022021	751	70	525
chr2	108851849	108852524	676	70	526
chr4	155963040	155963768	729	70	527
chr5	95642034	95642738	705	70	528
chr5	117866873	117867507	635	70	529
chr1	247677722	247678400	679	69	530
chr1	31731301	31731952	652	69	531
chr1	67170598	67171309	712	69	532
chr10	6297310	6297951	642	69	533
chr10	24158473	24159114	642	69	534
chr11	125762796	125763412	617	69	535
chr12	21503864	21504438	575	69	536
chr12	94097851	94098466	616	69	537
chr13	75553149	75554326	1178	69	538
chr14	29345528	29346159	632	69	539
chr17	70424479	70425306	828	69	540
chr2	85185492	85186170	679	69	541
chr2	233184619	233185382	764	69	542
chr20	56332667	56333419	753	69	543
chr21	16808234	16808911	678	69	544
chr21	40125230	40125880	651	69	545
chr22	29913328	29914129	802	69	546
chr3	178234649	178235250	602	69	547
chr3	187924534	187925150	617	69	548
chr4	16045686	16046300	615	69	549
chr4	57594600	57595200	601	69	550
chr4	77447454	77448201	748	69	551
chr4	95607150	95607753	604	69	552
chr4	188130910	188131655	746	69	553
chr5	136527973	136528757	785	69	554
chr6	105749993	105750606	614	69	555
chr6	110975243	110975921	679	69	556
chr6	144618902	144619554	653	69	557
chr7	73163920	73164724	805	69	558
chr7	77421321	77421920	600	69	559
chr7	90346881	90347575	695	69	560
chr7	103127775	103128373	599	69	561
chr7	137781121	137781681	561	69	562
chr7	142998220	142998921	702	69	563
chr8	29235221	29235862	642	69	564
chr8	48540039	48540727	689	69	565
chr9	36099560	36100286	727	69	566
chr11	37229554	37230145	592	69	567
chr2	220636711	220637309	599	69	568
chr3	174058671	174059251	581	69	569
chr8	102450482	102451109	628	69	570
chr16	14512538	14513177	640	69	571
chr11	15690108	15690726	619	69	572
chr11	134367356	134368002	647	69	573
chr13	63295936	63296637	702	69	574
chr18	55952894	55953494	601	69	575
chr5	117216480	117217173	694	69	576
chr6	138665265	138665902	638	69	577
chr18	21795450	21796272	823	69	578
chr2	56066149	56066819	671	69	579
chr3	73500196	73500949	754	69	580
chr3	109572145	109572708	564	69	581
chr4	100151283	100151865	583	69	582
chr9	92282613	92283287	675	69	583
chr1	198806509	198807202	694	68	584
chr10	36462101	36462739	639	68	585
chr10	45170477	45171169	693	68	586
chr1	24310748	24311479	732	68	587
chr1	165038979	165039579	601	68	588
chr1	168662422	168663029	608	68	589
chr1	181328098	181328729	632	68	590
chr10	45168939	45169512	574	68	591
chr10	47101217	47101922	706	68	592
chr12	54849801	54850422	622	68	593
chr12	102002111	102002875	765	68	594
chr12	118240720	118241322	603	68	595
chr15	34233842	34234455	614	68	596
chr15	61206093	61206914	822	68	597
chr15	75785984	75786655	672	68	598
chr16	66970998	66971649	652	68	599
chr18	39408043	39408672	630	68	600
chr2	13643369	13643993	625	68	601
chr2	139651243	139651844	602	68	602
chr2	217485917	217486561	645	68	603
chr2	226705943	226706602	660	68	604
chr2	234651293	234651917	625	68	605
chr22	28331849	28332452	604	68	606
chr3	42603895	42604550	656	68	607
chr3	81603417	81604050	634	68	608
chr3	148994995	148995728	734	68	609
chr4	42134937	42135550	614	68	610
chr4	96512300	96513023	724	68	611
chr4	159934834	159935405	572	68	612
chr5	14523631	14524323	693	68	613
chr5	14983600	14984281	682	68	614
chr5	148398580	148399257	678	68	615
chr5	148993331	148994088	758	68	616
chr6	147500879	147501593	715	68	617
chr6	160796089	160796804	716	68	618
chr8	19624743	19625526	784	68	619
chr8	86224996	86225593	598	68	620
chr9	116354911	116355536	626	68	621
chr1	60097166	60097763	598	68	622
chr12	117074618	117075314	697	68	623
chr11	67848954	67849552	599	68	624
chr19	46804034	46804664	631	68	625
chr4	153743411	153744054	644	68	626
chr6	92216139	92216752	614	68	627
chr12	73447551	73448157	607	68	628
chr13	110228520	110229151	632	68	629
chr13	105026720	105027370	651	68	630
chr17	67551244	67551844	601	68	631
chr16	79917206	79917904	699	68	632
chr5	158613180	158613873	694	68	633
chr19	51574166	51574814	649	68	634
chr20	4918032	4918755	724	68	635
chr6	160558152	160558727	576	68	636
chrX	74847662	74848198	537	68	637
chr1	246771898	246772544	647	67	638
chr10	114092173	114092904	732	67	639
chr1	8130872	8131472	601	67	640
chr1	19840901	19841522	622	67	641
chr1	79353429	79354013	585	67	642
chr1	222796047	222796722	676	67	643
chr1	240046793	240047408	616	67	644
chr10	8186356	8187048	693	67	645
chr10	61060059	61060654	596	67	646
chr10	129907854	129908589	736	67	647
chr11	15553952	15554633	682	67	648
chr11	58693634	58694317	684	67	649
chr11	108477284	108477995	712	67	650
chr12	32420854	32421488	635	67	651
chr13	95920187	95920807	621	67	652
chr13	109600426	109601101	676	67	653
chr14	35018049	35018676	628	67	654
chr14	84908804	84909411	608	67	655
chr14	93186057	93186749	693	67	656
chr15	48308969	48309493	525	67	657
chr15	52303708	52304455	748	67	658
chr17	35525584	35526244	661	67	659
chr17	60803076	60803694	619	67	660
chr18	56720444	56721070	627	67	661
chr18	65896194	65897050	857	67	662
chr2	16998981	16999619	639	67	663
chr2	65330361	65331043	683	67	664
chr2	184108919	184109529	611	67	665
chr21	38160392	38161145	754	67	666
chr1	204057993	204058695	703	67	667
chr22	30812795	30813536	742	67	668
chr3	55451169	55451786	618	67	669
chr3	62082717	62083415	699	67	670
chr11	68419133	68419801	669	67	671
chr3	117304886	117305550	665	67	672
chr4	10498053	10498655	603	67	673
chr11	102183208	102183930	723	67	674
chr4	31417150	31417775	626	67	675
chr6	33689221	33689940	720	67	676
chr13	110637086	110637676	591	67	677
chr6	117243988	117244548	561	67	678
chr6	137368065	137368702	638	67	679
chr6	151348227	151348974	748	67	680
chr6	169234847	169235490	644	67	681
chr7	20633470	20634077	608	67	682
chr7	69326121	69326681	561	67	683
chr7	107257523	107258325	803	67	684
chr8	22877455	22878059	605	67	685
chr8	69766575	69767189	615	67	686
chr9	88660760	88661513	754	67	687
chrY	14841498	14842139	642	67	688
chr15	93197234	93197861	628	67	689
chr17	69906065	69906749	685	67	690
chr3	131937662	131938295	634	67	691
chr5	54865073	54865781	709	67	692
chr5	72840273	72840907	635	67	693
chr13	95923540	95924294	755	67	694
chr15	54389114	54389722	609	67	695
chr16	23434729	23435306	578	67	696
chr17	7959680	7960509	830	67	697
chr17	80067879	80068623	745	67	698
chr1	36705301	36706095	795	67	699
chr15	46251076	46251764	689	67	700
chr2	23631144	23631724	581	67	701
chr2	28969293	28969903	611	67	702
chr20	14189500	14190096	597	67	703
chr7	80513821	80514521	701	67	704
chr3	9236123	9236786	664	67	705
chr1	18790745	18791494	750	66	706
chr1	229357152	229357908	757	66	707
chr1	36734750	36735468	719	66	708
chr1	36762529	36763193	665	66	709
chr1	169537601	169538201	601	66	710
chr1	234182713	234183358	646	66	711
chr10	4100890	4101506	617	66	712
chr10	77811072	77811690	619	66	713
chr10	79047352	79047973	622	66	714
chr11	7643869	7644534	666	66	715
chr11	12091837	12092485	649	66	716
chr11	95380324	95380979	656	66	717
chr12	57153122	57153775	654	66	718
chr12	92424370	92424980	611	66	719
chr12	117476015	117476670	656	66	720
chr12	118779904	118780619	716	66	721
chr13	26070620	26071237	618	66	722
chr13	110382790	110383426	637	66	723
chr14	50108452	50109036	585	66	724
chr16	52754804	52755436	633	66	725
chr17	47468252	47468947	696	66	726
chr2	3871344	3871943	600	66	727
chr2	149634893	149635524	632	66	728
chr20	8199976	8200603	628	66	729
chr20	19505111	19505769	659	66	730
chr20	36618009	36619455	1447	66	731
chr22	41354301	41354929	629	66	732
chr3	42465633	42466366	734	66	733
chr3	155675012	155675787	776	66	734
chr3	188358719	188359436	718	66	735
chr4	88964050	88964634	585	66	736
chr5	30605694	30606294	601	66	737
chr5	94977423	94978036	614	66	738
chr6	22821852	22822440	589	66	739
chr6	25447404	25448077	674	66	740
chr6	132607725	132608402	678	66	741
chr7	29270242	29270829	588	66	742
chr7	82169421	82170025	605	66	743
chr1	154390601	154391251	651	66	744
chr7	107491322	107491976	655	66	745
chr8	38858631	38859209	579	66	746
chr8	143758648	143759278	631	66	747
chr9	72117713	72118363	651	66	748
chr11	60925910	60926726	817	66	749
chr12	115351922	115352620	699	66	750
chr2	80019142	80019759	618	66	751
chr2	220263516	220264119	604	66	752
chr20	31779162	31779826	665	66	753
chr9	73034711	73035410	700	66	754
chr9	117670263	117670916	654	66	755
chr13	33687943	33688670	728	66	756
chr1	207205029	207205668	640	66	757
chr13	109632574	109633147	574	66	758
chr5	28880981	28881631	651	66	759
chr7	92431625	92432231	607	66	760
chr19	53946615	53947431	817	66	761
chr9	104967310	104968111	802	66	762
chr2	85648393	85649131	739	66	763
chr2	114466517	114467193	677	66	764
chr22	18120587	18121381	795	66	765
chr3	186732297	186732934	638	66	766
chr4	98545333	98545941	609	66	767
chr5	34051280	34052073	794	66	768
chr5	71146623	71147060	438	66	769
chr5	113681773	113682430	658	66	770
chr6	49635743	49636452	710	66	771
chr7	103825621	103826279	659	66	772
chr8	29781075	29781682	608	66	773
chr1	25785259	25785979	721	65	774
chr1	30179045	30179672	628	65	775
