"gene"	"chr"	"start"	"end"	"size"	"ARtal"	"enhid"
"LINC01714"	"1"	8319095	8319902	808	85	15
"ZBTB8A"	"1"	32967395	32968052	658	85	16
"ZBTB8OS"	"1"	32967395	32968052	658	85	16
"RBBP4"	"1"	32967395	32968052	658	85	16
"S100PBP"	"1"	32967395	32968052	658	85	16
"YARS"	"1"	32967395	32968052	658	85	16
"BSDC1"	"1"	32967395	32968052	658	85	16
"TLE4"	"9"	82104396	82105135	740	85	17
"TPT1"	"13"	45428577	45429286	710	85	18
"SNORA31"	"13"	45428577	45429286	710	85	18
"TPT1-AS1"	"13"	45428577	45429286	710	85	18
"TSC22D1-AS1"	"13"	45428577	45429286	710	85	18
"TSC22D1"	"13"	45428577	45429286	710	85	18
"LINC00330"	"13"	45428577	45429286	710	85	18
"TMEM100"	"17"	53684929	53685715	787	85	20
"PCTP"	"17"	53684929	53685715	787	85	20
"MMD"	"17"	53684929	53685715	787	85	20
"SIX5"	"19"	46246164	46246850	687	85	21
"DMWD"	"19"	46246164	46246850	687	85	21
"SNRPD2"	"19"	46246164	46246850	687	85	21
"QPCTL"	"19"	46246164	46246850	687	85	21
"FBXO46"	"19"	46246164	46246850	687	85	21
"BHMG1"	"19"	46246164	46246850	687	85	21
"LOC101927746"	"7"	101026073	101026722	650	85	23
"IFT22"	"7"	101026073	101026722	650	85	23
"COL26A1"	"7"	101026073	101026722	650	85	23
"ABCC4"	"13"	95870286	95870999	714	85	24
"CLDN10"	"13"	95870286	95870999	714	85	24
"PARP14"	"3"	122370349	122371015	667	85	26
"DIRC2"	"3"	122370349	122371015	667	85	26
"HSPBAP1"	"3"	122370349	122371015	667	85	26
"CCDC58"	"3"	122370349	122371015	667	85	26
"FAM162A"	"3"	122370349	122371015	667	85	26
"LOC102723582"	"3"	122370349	122371015	667	85	26
"WDR5B"	"3"	122370349	122371015	667	85	26
"KPNA1"	"3"	122370349	122371015	667	85	26
"PARP15"	"3"	122370349	122371015	667	85	26
"C1orf168"	"1"	57253745	57254463	719	84	27
"PLPP3"	"1"	57253745	57254463	719	84	27
"PRKAA2"	"1"	57253745	57254463	719	84	27
"LOC101929935"	"1"	57253745	57254463	719	84	27
"MIR548Z"	"12"	64983870	64984529	660	84	30
"MIR548C"	"12"	64983870	64984529	660	84	30
"GNS"	"12"	64983870	64984529	660	84	30
"TBC1D30"	"12"	64983870	64984529	660	84	30
"XPOT"	"12"	64983870	64984529	660	84	30
"TBK1"	"12"	64983870	64984529	660	84	30
"CHPT1"	"12"	102009766	102010388	623	84	31
"GNPTAB"	"12"	102009766	102010388	623	84	31
"ARL1"	"12"	102009766	102010388	623	84	31
"SPIC"	"12"	102009766	102010388	623	84	31
"LOC102724153"	"14"	76002052	76002726	675	84	32
"FLVCR2"	"14"	76002052	76002726	675	84	32
"TTLL5"	"14"	76002052	76002726	675	84	32
"C14orf1"	"14"	76002052	76002726	675	84	32
"EIF2B2"	"14"	76002052	76002726	675	84	32
"NEK9"	"14"	76002052	76002726	675	84	32
"TMED10"	"14"	76002052	76002726	675	84	32
"FOS"	"14"	76002052	76002726	675	84	32
"LINC01220"	"14"	76002052	76002726	675	84	32
"JDP2"	"14"	76002052	76002726	675	84	32
"BATF"	"14"	76002052	76002726	675	84	32
"MIR4508"	"15"	23791238	23791858	621	84	33
"MKRN3"	"15"	23791238	23791858	621	84	33
"MIR5708"	"8"	81158898	81159561	664	84	37
"ISCA1"	"9"	89020011	89020661	651	84	38
"ZCCHC6"	"9"	89020011	89020661	651	84	38
"TMCC3"	"12"	94985625	94986301	677	84	41
"MIR5700"	"12"	94985625	94986301	677	84	41
"MIR7844"	"12"	94985625	94986301	677	84	41
"AEN"	"15"	89672801	89673505	705	84	42
"FANCI"	"15"	89672801	89673505	705	84	42
"POLG"	"15"	89672801	89673505	705	84	42
"MIR6766"	"15"	89672801	89673505	705	84	42
"MFGE8"	"15"	89672801	89673505	705	84	42
"ABHD2"	"15"	89672801	89673505	705	84	42
"MYLK-AS1"	"3"	123346371	123347099	729	84	45
"HACD2"	"3"	123346371	123347099	729	84	45
"PLA2G2F"	"1"	20358845	20359502	658	83	46
"PLA2G2C"	"1"	20358845	20359502	658	83	46
"PLA2G2A"	"1"	20358845	20359502	658	83	46
"ZNF350"	"19"	52463660	52464415	756	83	50
"ZNF615"	"19"	52463660	52464415	756	83	50
"ZNF614"	"19"	52463660	52464415	756	83	50
"ZNF649"	"19"	52463660	52464415	756	83	50
"ZNF613"	"19"	52463660	52464415	756	83	50
"IRS1"	"2"	227603324	227604059	736	83	51
"RHBDD1"	"2"	227603324	227604059	736	83	51
"MIR5702"	"2"	227603324	227604059	736	83	51
"SNORA74B"	"5"	172438473	172439131	659	83	53
"CREBRF"	"5"	172438473	172439131	659	83	53
"BNIP1"	"5"	172438473	172439131	659	83	53
"STC2"	"5"	172438473	172439131	659	83	53
"DUSP1"	"5"	172438473	172439131	659	83	53
"LOC100268168"	"5"	172438473	172439131	659	83	53
"RPL26L1"	"5"	172438473	172439131	659	83	53
"ATP6V0E1"	"5"	172438473	172439131	659	83	53
"HOXA10-HOXA9"	"7"	27975921	27976675	755	83	55
"HOXA10"	"7"	27975921	27976675	755	83	55
"HOXA11"	"7"	27975921	27976675	755	83	55
"HOXA11-AS"	"7"	27975921	27976675	755	83	55
"MIR1208"	"8"	129169432	129170059	628	83	57
"TMEM75"	"8"	129169432	129170059	628	83	57
"CAB39L"	"13"	49973913	49974637	725	83	58
"SETDB2-PHF11"	"13"	49973913	49974637	725	83	58
"SETDB2"	"13"	49973913	49974637	725	83	58
"TECTA"	"11"	120911657	120912306	650	83	60
"TBCEL"	"11"	120911657	120912306	650	83	60
"APLP2"	"11"	129895134	129895782	649	83	61
"PRDM10"	"11"	129895134	129895782	649	83	61
"LINC00167"	"11"	129895134	129895782	649	83	61
"LINC01104"	"2"	100684167	100684843	677	83	64
"NR1D2"	"3"	24181384	24182099	716	83	65
"VTA1"	"6"	142697071	142697752	682	83	68
"NMBR"	"6"	142697071	142697752	682	83	68
"ADGRG6"	"6"	142697071	142697752	682	83	68
"DPH6"	"15"	35600821	35601454	634	82	70
"DPH6-AS1"	"15"	35600821	35601454	634	82	70
"SAFB"	"19"	4991608	4992462	855	82	72
"SAFB2"	"19"	4991608	4992462	855	82	72
"C19orf70"	"19"	4991608	4992462	855	82	72
"HSD11B1L"	"19"	4991608	4992462	855	82	72
"RPL36"	"19"	4991608	4992462	855	82	72
"CATSPERD"	"19"	4991608	4992462	855	82	72
"LONP1"	"19"	4991608	4992462	855	82	72
"NDUFA11"	"19"	4991608	4992462	855	82	72
"VMAC"	"19"	4991608	4992462	855	82	72
"PLIN5"	"19"	4991608	4992462	855	82	72
"MYDGF"	"19"	4991608	4992462	855	82	72
"DPP9"	"19"	4991608	4992462	855	82	72
"FEM1A"	"19"	4991608	4992462	855	82	72
"TICAM1"	"19"	4991608	4992462	855	82	72
"PLIN3"	"19"	4991608	4992462	855	82	72
"MIR4747"	"19"	4991608	4992462	855	82	72
"KDM4B"	"19"	4991608	4992462	855	82	72
"PIGY"	"4"	89435900	89436636	737	82	75
"PYURF"	"4"	89435900	89436636	737	82	75
"LOC101929134"	"4"	89435900	89436636	737	82	75
"MRPS27"	"5"	71306095	71306773	679	82	76
"PTCD2"	"5"	71306095	71306773	679	82	76
"ADAM9"	"8"	39689469	39690109	641	82	77
"TM2D2"	"8"	39689469	39690109	641	82	77
"SLC43A1"	"11"	57270258	57270920	663	82	78
"TIMM10"	"11"	57270258	57270920	663	82	78
"ZDHHC5"	"11"	57270258	57270920	663	82	78
"TNKS1BP1"	"11"	57270258	57270920	663	82	78
"RTN4RL2"	"11"	57270258	57270920	663	82	78
"LPXN"	"11"	57270258	57270920	663	82	78
"ZFP91"	"11"	57270258	57270920	663	82	78
"ZFP91-CNTF"	"11"	57270258	57270920	663	82	78
"P2RX3"	"11"	57270258	57270920	663	82	78
"C11orf71"	"11"	114033407	114034054	648	82	79
"RBM7"	"11"	114033407	114034054	648	82	79
"ZW10"	"11"	114033407	114034054	648	82	79
"CLDN25"	"11"	114033407	114034054	648	82	79
"USP28"	"11"	114033407	114034054	648	82	79
"HTR3B"	"11"	114033407	114034054	648	82	79
"HTR3A"	"11"	114033407	114034054	648	82	79
"ZBTB16"	"11"	114033407	114034054	648	82	79
"PPP1R36"	"14"	64981744	64982404	661	82	81
"ZBTB25"	"14"	64981744	64982404	661	82	81
"ZBTB1"	"14"	64981744	64982404	661	82	81
"PMEPA1"	"20"	56338170	56338855	686	82	83
"NKILA"	"20"	56338170	56338855	686	82	83
"GNRH1"	"8"	25265530	25266234	705	82	85
"KCTD9"	"8"	25265530	25266234	705	82	85
"CDCA2"	"8"	25265530	25266234	705	82	85
"DOCK5"	"8"	25265530	25266234	705	82	85
"UCHL5"	"1"	192813395	192814050	656	81	87
"SCARNA18B"	"1"	192813395	192814050	656	81	87
"TROVE2"	"1"	192813395	192814050	656	81	87
"RAB3B"	"1"	52414167	52414908	742	81	96
"TXNDC12"	"1"	52414167	52414908	742	81	96
"TXNDC12-AS1"	"1"	52414167	52414908	742	81	96
"BTF3L4"	"1"	52414167	52414908	742	81	96
"NRDC"	"1"	52414167	52414908	742	81	96
"ZCCHC11"	"1"	52414167	52414908	742	81	96
"TMED3"	"15"	80070398	80071162	765	81	97
"C2orf76"	"2"	120095244	120095893	650	81	98
"DBI"	"2"	120095244	120095893	650	81	98
"MRFAP1L1"	"4"	6958823	6959517	695	81	100
"BLOC1S4"	"4"	6958823	6959517	695	81	100
"LOC100129931"	"4"	6958823	6959517	695	81	100
"CCDC96"	"4"	6958823	6959517	695	81	100
"TADA2B"	"4"	6958823	6959517	695	81	100
"GRPEL1"	"4"	6958823	6959517	695	81	100
"TBC1D14"	"4"	6958823	6959517	695	81	100
"PI15"	"8"	75488509	75489182	674	81	101
"RPL7"	"8"	75488509	75489182	674	81	101
"RDH10"	"8"	75488509	75489182	674	81	101
"MYRIP"	"3"	39880886	39881571	686	81	103
"CFAP69"	"7"	89860521	89861175	655	81	104
"STEAP1"	"7"	89860521	89861175	655	81	104
"STEAP2-AS1"	"7"	89860521	89861175	655	81	104
"STEAP2"	"7"	89860521	89861175	655	81	104
"UCHL5"	"1"	192830802	192831524	723	80	105
"SCARNA18B"	"1"	192830802	192831524	723	80	105
"TROVE2"	"1"	192830802	192831524	723	80	105
"GLRX2"	"1"	192830802	192831524	723	80	105
"CDC73"	"1"	192830802	192831524	723	80	105
"RGS2"	"1"	192830802	192831524	723	80	105
"PDHX"	"11"	35083062	35083726	665	80	106
"APIP"	"11"	35083062	35083726	665	80	106
"LOC101928414"	"15"	45431793	45432428	636	80	107
"SLC30A4"	"15"	45431793	45432428	636	80	107
"HEATR6"	"17"	57946679	57947376	698	80	109
"LOC105371849"	"17"	57946679	57947376	698	80	109
"TUBD1"	"17"	57946679	57947376	698	80	109
"RPS6KB1"	"17"	57946679	57947376	698	80	109
"LOC101927755"	"17"	57946679	57947376	698	80	109
"RNFT1"	"17"	57946679	57947376	698	80	109
"CLTC"	"17"	57946679	57947376	698	80	109
"VMP1"	"17"	57946679	57947376	698	80	109
"PTRH2"	"17"	57946679	57947376	698	80	109
"MIR21"	"17"	57946679	57947376	698	80	109
"NRIR"	"2"	5251693	5252363	671	80	111
"WDR4"	"21"	44151430	44152201	772	80	115
"LINC01671"	"21"	44151430	44152201	772	80	115
"PDE9A"	"21"	44151430	44152201	772	80	115
"CDC14B"	"9"	99366005	99366661	657	80	120
"AAED1"	"9"	99366005	99366661	657	80	120
"ZNF367"	"9"	99366005	99366661	657	80	120
"ANXA2P1"	"4"	154190635	154191291	657	80	121
"TRIM2"	"4"	154190635	154191291	657	80	121
"PTGER4"	"5"	40306984	40307647	664	80	122
"PRKAA1"	"5"	40306984	40307647	664	80	122
"TRIM36"	"5"	114512044	114512831	788	80	123
"LOC100507477"	"6"	139806711	139807389	679	80	124
"CITED2"	"6"	139806711	139807389	679	80	124
"DDX3X"	"X"	43566933	43567639	707	80	125
"MAOA"	"X"	43566933	43567639	707	80	125
"LOC101929710"	"5"	95325218	95325897	680	80	128
"ELL2"	"5"	95325218	95325897	680	80	128
"KLF9"	"9"	73095510	73096211	702	80	130
"SMC5"	"9"	73095510	73096211	702	80	130
"SMC5-AS1"	"9"	73095510	73096211	702	80	130
"SNIP1"	"1"	37964668	37965329	662	79	131
"DNALI1"	"1"	37964668	37965329	662	79	131
"TSEN15"	"1"	184047896	184048550	655	79	133
"ZFHX3"	"16"	72711626	72712302	677	79	140
"LINC01572"	"16"	72711626	72712302	677	79	140
"TBC1D8"	"2"	101696419	101697269	851	79	143
"TBC1D8-AS1"	"2"	101696419	101697269	851	79	143
"CNOT11"	"2"	101696419	101697269	851	79	143
"RNF149"	"2"	101696419	101697269	851	79	143
"MIR5696"	"2"	101696419	101697269	851	79	143
"PDCL3"	"2"	101696419	101697269	851	79	143
"RPL31"	"2"	101696419	101697269	851	79	143
"ACVR2A"	"2"	148245331	148245953	623	79	144
"SCARNA5"	"2"	234861893	234862519	627	79	145
"HJURP"	"2"	234861893	234862519	627	79	145
"MSL3P1"	"2"	234861893	234862519	627	79	145
"TRPM8"	"2"	234861893	234862519	627	79	145
"AGTR1"	"3"	148342886	148343578	693	79	146
"ACOX3"	"4"	8353485	8354150	666	79	147
"TRMT44"	"4"	8353485	8354150	666	79	147
"OTULIN"	"5"	14588945	14589681	737	79	149
"FAM105A"	"5"	14588945	14589681	737	79	149
"LOC100130744"	"5"	14721995	14722644	650	79	150
"UNQ6494"	"9"	92279705	92280335	631	79	151
"CKS2"	"9"	92279705	92280335	631	79	151
"MIR3153"	"9"	92279705	92280335	631	79	151
"SECISBP2"	"9"	92279705	92280335	631	79	151
"SEMA4D"	"9"	92279705	92280335	631	79	151
"GADD45G"	"9"	92279705	92280335	631	79	151
"ALCAM"	"3"	104329902	104330575	674	79	156
"JADE1"	"4"	129581318	129581955	638	79	157
"HEBP2"	"6"	138580089	138580721	633	79	158
"PERP"	"6"	138580089	138580721	633	79	158
"ARFGEF3"	"6"	138580089	138580721	633	79	158
"CDK14"	"7"	90335474	90336124	651	79	159
"PIGO"	"9"	35258555	35259162	608	79	162
"STOML2"	"9"	35258555	35259162	608	79	162
"FAM214B"	"9"	35258555	35259162	608	79	162
"UNC13B"	"9"	35258555	35259162	608	79	162
"VCP"	"9"	35258555	35259162	608	79	162
"FANCG"	"9"	35258555	35259162	608	79	162
"MIR99A"	"21"	17452191	17452923	733	79	164
"MIRLET7C"	"21"	17452191	17452923	733	79	164
"MIR125B2"	"21"	17452191	17452923	733	79	164
"TM2D1"	"1"	62106195	62106902	708	78	165
"PATJ"	"1"	62106195	62106902	708	78	165
"NFIA-AS2"	"1"	62106195	62106902	708	78	165
"NFIA"	"1"	62106195	62106902	708	78	165
"FOLH1"	"11"	48077207	48077904	698	78	166
"NUP160"	"11"	48077207	48077904	698	78	166
"PTPRJ"	"11"	48077207	48077904	698	78	166
"B3GNT6"	"11"	76512746	76513354	609	78	168
"TSKU"	"11"	76512746	76513354	609	78	168
"LOC101928837"	"11"	76512746	76513354	609	78	168
"ZFHX3"	"16"	72222206	72222894	689	78	169
"TIMM50"	"19"	39953814	39954565	752	78	171
"DLL3"	"19"	39953814	39954565	752	78	171
"EID2"	"19"	39953814	39954565	752	78	171
"ZFP36"	"19"	39953814	39954565	752	78	171
"MIR4530"	"19"	39953814	39954565	752	78	171
"PLEKHG2"	"19"	39953814	39954565	752	78	171
"RPS16"	"19"	39953814	39954565	752	78	171
"SUPT5H"	"19"	39953814	39954565	752	78	171
"XXYLT1"	"3"	194591699	194592449	751	78	174
"LSG1"	"3"	194591699	194592449	751	78	174
"FAM43A"	"3"	194591699	194592449	751	78	174
"PPP1R2"	"3"	194591699	194592449	751	78	174
"LOC105377480"	"4"	149613211	149613855	645	78	175
"NR3C2"	"4"	149613211	149613855	645	78	175
"LOC100130744"	"5"	14716845	14717634	790	78	176
"ADAM9"	"8"	38883109	38883739	631	78	179
"TM2D2"	"8"	38883109	38883739	631	78	179
"KIAA0368"	"9"	114205613	114206313	701	78	180
"PTGR1"	"9"	114205613	114206313	701	78	180
"DNAJC25-GNG10"	"9"	114205613	114206313	701	78	180
"DNAJC25"	"9"	114205613	114206313	701	78	180
"LOC105370757"	"15"	33322448	33323114	667	78	182
"ALCAM"	"3"	104317895	104318536	642	78	183
"LOC101930370"	"4"	173959500	173960190	691	78	184
"GALNT7"	"4"	173959500	173960190	691	78	184
"HMGB2"	"4"	173959500	173960190	691	78	184
"SAP30"	"4"	173959500	173960190	691	78	184
"HEBP2"	"6"	138552543	138553239	697	78	185
"GVQW2"	"6"	138552543	138553239	697	78	185
"CCDC28A"	"6"	138552543	138553239	697	78	185
"MAP3K5"	"6"	138552543	138553239	697	78	185
"LOC101928429"	"6"	138552543	138553239	697	78	185
"IFNGR1"	"6"	138552543	138553239	697	78	185
"PERP"	"6"	138552543	138553239	697	78	185
"ARFGEF3"	"6"	138552543	138553239	697	78	185
"CFL1"	"11"	65956667	65957306	640	78	186
"MUS81"	"11"	65956667	65957306	640	78	186
"KLC2"	"11"	65956667	65957306	640	78	186
"NEAT1"	"11"	65956667	65957306	640	78	186
"EIF1AD"	"11"	65956667	65957306	640	78	186
"BANF1"	"11"	65956667	65957306	640	78	186
"GAL3ST3"	"11"	65956667	65957306	640	78	186
"SF3B2"	"11"	65956667	65957306	640	78	186
"COL3A1"	"2"	189438044	189438714	671	78	189
"MIR1245A"	"2"	189438044	189438714	671	78	189
"MIR1245B"	"2"	189438044	189438714	671	78	189
"TFPI"	"2"	189438044	189438714	671	78	189
"LINC01090"	"2"	189438044	189438714	671	78	189
"GULP1"	"2"	189438044	189438714	671	78	189
"MIR561"	"2"	189438044	189438714	671	78	189
"MIR1302-4"	"2"	207687749	207688419	671	78	190
"CREB1"	"2"	207687749	207688419	671	78	190
"PTK2B"	"8"	27139880	27140482	603	78	192
"TRIM35"	"8"	27139880	27140482	603	78	192
"SH3D21"	"1"	36697901	36698552	652	77	193
"STK40"	"1"	36697901	36698552	652	77	193
"LSM10"	"1"	36697901	36698552	652	77	193
"AGO3"	"1"	36697901	36698552	652	77	193
"TRAPPC3"	"1"	36697901	36698552	652	77	193
"MAP7D1"	"1"	36697901	36698552	652	77	193
"THRAP3"	"1"	36697901	36698552	652	77	193
"FAM214A"	"15"	52945654	52946338	685	77	198
"MIR1266"	"15"	52945654	52946338	685	77	198
"MYO5C"	"15"	52945654	52946338	685	77	198
"RHBDD1"	"2"	227033436	227034099	664	77	201
"ZMYND8"	"20"	45962659	45963412	754	77	202
"LOC101927377"	"20"	45962659	45963412	754	77	202
"LOC100131496"	"20"	45962659	45963412	754	77	202
"MRFAP1L1"	"4"	6860636	6861284	649	77	204
"BLOC1S4"	"4"	6860636	6861284	649	77	204
"KIAA0232"	"4"	6860636	6861284	649	77	204
"FAM134B"	"5"	16547430	16548057	628	77	205
"LOC101929524"	"5"	16547430	16548057	628	77	205
"ZNF622"	"5"	16547430	16548057	628	77	205
"RARS"	"5"	167780173	167780931	759	77	206
"PANK3"	"5"	167780173	167780931	759	77	206
"WWC1"	"5"	167780173	167780931	759	77	206
"VTA1"	"6"	142671393	142672011	619	77	207
"NMBR"	"6"	142671393	142672011	619	77	207
"ADGRG6"	"6"	142671393	142672011	619	77	207
"NAMPT"	"7"	105857471	105858149	679	77	208
"LINC01508"	"9"	93317655	93318311	657	77	209
"EPB41L4B"	"9"	112063263	112063896	634	77	210
"IKBKAP"	"9"	112063263	112063896	634	77	210
"FAM206A"	"9"	112063263	112063896	634	77	210
"MIR32"	"9"	112063263	112063896	634	77	210
"TSPYL2"	"X"	53100690	53101361	672	77	211
"KDM5C"	"X"	53100690	53101361	672	77	211
"C11orf71"	"11"	114030658	114031258	601	77	212
"RBM7"	"11"	114030658	114031258	601	77	212
"ZW10"	"11"	114030658	114031258	601	77	212
"CLDN25"	"11"	114030658	114031258	601	77	212
"USP28"	"11"	114030658	114031258	601	77	212
"HTR3B"	"11"	114030658	114031258	601	77	212
"HTR3A"	"11"	114030658	114031258	601	77	212
"ZBTB16"	"11"	114030658	114031258	601	77	212
"PCF11"	"11"	82850276	82850952	677	77	214
"PRCP"	"11"	82850276	82850952	677	77	214
"DDIAS"	"11"	82850276	82850952	677	77	214
"RAB30"	"11"	82850276	82850952	677	77	214
"RAB30-AS1"	"11"	82850276	82850952	677	77	214
"SLC38A2"	"12"	47186625	47187264	640	77	215
"LOC100288798"	"12"	47186625	47187264	640	77	215
"BAZ1A"	"14"	35848387	35849004	618	77	216
"NFKBIA"	"14"	35848387	35849004	618	77	216
"SRP54"	"14"	35848387	35849004	618	77	216
"FAM177A1"	"14"	35848387	35849004	618	77	216
"KIAA0391"	"14"	35848387	35849004	618	77	216
"PPP2R3C"	"14"	35848387	35849004	618	77	216
"FAM103A1"	"15"	83588034	83588738	705	77	217
"C15orf40"	"15"	83588034	83588738	705	77	217
"HDGFRP3"	"15"	83588034	83588738	705	77	217
"SNHG21"	"15"	83588034	83588738	705	77	217
"SCARNA15"	"15"	83588034	83588738	705	77	217
"MIR4774"	"2"	169134867	169135564	698	77	218
"STK39"	"2"	169134867	169135564	698	77	218
"CRISP3"	"6"	49632393	49633006	614	77	219
"LOC101927020"	"6"	49632393	49633006	614	77	219
"LOC101927048"	"6"	49632393	49633006	614	77	219
"NDRG1"	"8"	134339032	134339695	664	77	220
"DGUOK"	"2"	74104528	74105219	692	77	221
"DGUOK-AS1"	"2"	74104528	74105219	692	77	221
"TET3"	"2"	74104528	74105219	692	77	221
"EPM2AIP1"	"3"	37123683	37124299	617	77	222
"MLH1"	"3"	37123683	37124299	617	77	222
"DEPDC1"	"1"	69010293	69010908	616	76	224
"DEPDC1-AS1"	"1"	69010293	69010908	616	76	224
"PHC2"	"1"	34125272	34126345	1074	76	225
"ZSCAN20"	"1"	34125272	34126345	1074	76	225
"GPATCH2"	"1"	217075929	217076651	723	76	226
"SPATA17"	"1"	217075929	217076651	723	76	226
"SPATA13"	"13"	24776220	24776851	632	76	227
"MIR2276"	"13"	24776220	24776851	632	76	227
"GALR1"	"18"	74974537	74975501	965	76	228
"MBP"	"18"	74974537	74975501	965	76	228
"CORIN"	"4"	47854034	47854600	567	76	231
"LOC101927179"	"4"	47854034	47854600	567	76	231
"LOC105379393"	"8"	41867575	41868296	722	76	236
"KAT6A"	"8"	41867575	41868296	722	76	236
"AP3M2"	"8"	41867575	41868296	722	76	236
"PAG1"	"8"	82035443	82036089	647	76	237
"ZFAT"	"8"	135898645	135899259	615	76	238
"MIR30B"	"8"	135898645	135899259	615	76	238
"NCRNA00250"	"8"	135898645	135899259	615	76	238
"TLE1"	"9"	84429213	84430016	804	76	240
"LOC101927502"	"9"	84429213	84430016	804	76	240
"NADSYN1"	"11"	70824006	70824667	662	76	242
"DHCR7"	"11"	70824006	70824667	662	76	242
"SERP2"	"13"	44792657	44793487	831	76	243
"TUSC8"	"13"	44792657	44793487	831	76	243
"LINC00390"	"13"	44792657	44793487	831	76	243
"MIR8079"	"13"	44792657	44793487	831	76	243
"FAM96A"	"15"	64364723	64365456	734	76	244
"SNX1"	"15"	64364723	64365456	734	76	244
"USP3-AS1"	"15"	64364723	64365456	734	76	244
"FBXL22"	"15"	64364723	64365456	734	76	244
"DAPK2"	"15"	64364723	64365456	734	76	244
"RBPJ"	"4"	26143400	26144015	616	76	248
"GHRHR"	"7"	31010120	31010723	604	76	249
"POT1-AS1"	"7"	125124720	125125374	655	76	250
"POT1"	"7"	125124720	125125374	655	76	250
"DAOA"	"13"	106468794	106469665	872	76	253
"PNMA1"	"14"	74127137	74127759	623	76	254
"MIR4505"	"14"	74127137	74127759	623	76	254
"ELMSAN1"	"14"	74127137	74127759	623	76	254
"LOC100506476"	"14"	74127137	74127759	623	76	254
"LOC100506498"	"14"	74127137	74127759	623	76	254
"PTGR2"	"14"	74127137	74127759	623	76	254
"ZNF410"	"14"	74127137	74127759	623	76	254
"FAM161B"	"14"	74127137	74127759	623	76	254
"COQ6"	"14"	74127137	74127759	623	76	254
"ENTPD5"	"14"	74127137	74127759	623	76	254
"BBOF1"	"14"	74127137	74127759	623	76	254
"LIN52"	"14"	74127137	74127759	623	76	254
"ALDH6A1"	"14"	74127137	74127759	623	76	254
"NUMB"	"14"	74127137	74127759	623	76	254
"RIOX1"	"14"	74127137	74127759	623	76	254
"ACOT2"	"14"	74127137	74127759	623	76	254
"ACOT4"	"14"	74127137	74127759	623	76	254
"DNAL1"	"14"	74127137	74127759	623	76	254
